nom_estab,raz_social,nombre_actividad,codigo_postal,entidad,municipio,fecha_alta,correoelec,telefono,www, no. empleados
CENTROS DE INTEGRACION JUVENIL,CENTROS DE INTEGRACION JUVENIL AC,Servicios de orientaci�n y trabajo social para la ni�ez y la juventud prestados por el sector privado,20059,Aguascalientes,Aguascalientes,2010-07,CIJAGUASCALIENTES@CIJ.GOB.MX,4499156526,WWW.CIJ.GOB.MX,11 a 30 personas
CLINICA MEDIVAL,,Otros centros del sector privado para la atenci�n de pacientes que no requieren hospitalizaci�n,20230,Aguascalientes,Aguascalientes,2014-12,MEDICAVAL@YAHOO.COM.MX,4499726090,,11 a 30 personas
CLINICA SAN JUAN,MEDICA SAN JUAN DE AGUASCALIENTES SA DE CV,Hospitales generales del sector privado,20287,Aguascalientes,Aguascalientes,2010-07,NELLY_LEOS@HOTMAIL.COM,4499784747,,31 a 50 personas
CLINICA Y HOSPITAL VIRGEN DEL CARMEN,CLINICA Y MATERNIDAD NUESTRA SE�ORA DEL CARMEN SA DE CV,Hospitales generales del sector privado,20408,Aguascalientes,Rinc�n de Romos,2010-07,CLINICADELCARMEN97@GMAIL.COM,4659510699,WWW.CLINICADELCARMEN.COM,11 a 30 personas
CONSULTORIOS DENTALES BOKA,BOKA DENTAL HEALTH SC,Consultorios dentales del sector privado,20070,Aguascalientes,Aguascalientes,2019-11,HOLA@BDHBOKADENTAL.COM,4499609366,,11 a 30 personas
EL MARAVILLOSO MUNDO DE LOS NIÑOS 2,,Guarderías del sector privado,20400,Aguascalientes,Rinc�n de Romos,2019-11,MUNDODELOSNINIS@OUTLOOK.ES,4659556109,,11 a 30 personas
ESPACIOS Y SERVICIOS DE BIENESTAR SANANTIAL,ESPACIOS Y SERVICIOS DE BIENESTAR SC,Consultorios de medicina general del sector privado,20278,Aguascalientes,Aguascalientes,2014-12,MARYSM707@HOTMAIL.COM,4499717574,WWW.SANANTIAL.COM,11 a 30 personas
ESTANCIA DE BIENESTAR Y DESARROLLO INFANTIL N�MERO 21,GOBIERNO FEDERAL ,Guarderías del sector p�blico,20230,Aguascalientes,Aguascalientes,2014-12,EBDI21AGS@ISSSTE.GOB.MX,4499785600,,51 a 100 personas
ESTANCIA INFANTIL AGUASCALIENTES,ESTANCIA INFANTIL AGUASCALIENTES AC,Guarderías del sector privado,20000,Aguascalientes,Aguascalientes,2010-07,EIA-001@HOTMAIL.COM,4499185047,,11 a 30 personas
ESTANCIA INFANTIL CHAVITOS SEDESOL NO. 3936,,Guarderías del sector privado,20259,Aguascalientes,Aguascalientes,2010-07,CHAVITOS_11@HOTMAIL.COM,4491021695,,11 a 30 personas
ESTANCIA INTEGRADORA LAS PALOMAS,SEDESOL GOBIERNO FEDERAL ,Guarderías del sector p�blico,20059,Aguascalientes,Aguascalientes,2014-12,INSTITUTOCARRUSEL@YAHOO.COM.MX,4499153412,,11 a 30 personas
FUNDACION MEDICA MEXICO FRANCABRACILE�A,,Consultorios de medicina general del sector privado,20170,Aguascalientes,Aguascalientes,2010-07,FUNDACIONMEDICA@PRODIGY.NET.MX,4499725050,WWW.FUNDACIONMEDICA.MX,11 a 30 personas
GRUPO UN NUEVO COMIENZO,GRUPOS DE FAMILIA ALANON ALATEEN AC,Agrupaciones de autoayuda para alcoh�licos y personas con otras adicciones,20000,Aguascalientes,Aguascalientes,2010-07,GRUPOS@ALANON.MX,4491707999,,11 a 30 personas
GUARDERIA JEDI,JEDI SC,Guarderías del sector privado,20280,Aguascalientes,Aguascalientes,2014-12,JEDIU008@GMAIL.COM,4499781807,,51 a 100 personas
HOGAR DEL ANCIANO,ALIANZA PARA LOS DESAMPARADOS SA DE CV,Asilos y otras residencias del sector privado para el cuidado de ancianos,20040,Aguascalientes,Aguascalientes,2010-07,ALIDESAMPARADOS@HOTMAIL.COM,4499154087,,11 a 30 personas
HOSPITAL GENERAL TERCER MILENIO,INSTITUTO DE SALUD DEL ESTADO DE AGS ,Hospitales generales del sector p�blico,20298,Aguascalientes,Aguascalientes,2010-07,HGTM@ISSEA.GOB.MX,4499776275,WWW.ISSEA.GOB.MX,251 y más personas
INTISTUTO DE TERAPIAS HUMANISTAS BUENOS AIRES,,Consultorios de psicolog�a del sector privado,20239,Aguascalientes,Aguascalientes,2019-11,BUENOSAIRESAGS@GMAIL.COM,4491563078,,11 a 30 personas
LABORATORIO CLINICO DEL CAMPESTRE,LABORATORIO CLINICO DEL CAMPESTRE SC,Laboratorios médicos y de diagnóstico del sector privado,20110,Aguascalientes,Aguascalientes,2010-07,LAB_CAMPESTRE@HOTMAIL.COM,4499146470,WWW.LABCAMPESTRE.COM,11 a 30 personas
LABORATORIO CLINICO PATOLOGICO DE AGUASCALIENTES,LABORATORIO CLINICO PATOLOGICO DE AGUASCALIENTES SA,Laboratorios médicos y de diagnóstico del sector privado,20230,Aguascalientes,Aguascalientes,2010-07,FALEROPA28@YAHOO.COM.MX,4499111128,LABORATORIOROLON,11 a 30 personas
LBP LABORATOIOS CLINICOS,,Laboratorios médicos y de diagnóstico del sector privado,20240,Aguascalientes,Aguascalientes,2010-07,LBP@PRODIGY.NET.MX,4499153167,WWW.LBP.COM.MX,11 a 30 personas
LINFISIK,,Consultorios del sector privado de audiolog�a y de terapia ocupacional f�sica y del lenguaje,20230,Aguascalientes,Aguascalientes,2019-11,LINFISIK@GMAIL.COM,4492246493,,11 a 30 personas
MEDICA NORTE,CENTRO DE CIRUGIA AMBULATORIA MEDICA NORTE SC,Otros centros del sector privado para la atenci�n de pacientes que no requieren hospitalizaci�n,20110,Aguascalientes,Aguascalientes,2014-12,CPFAVIOLARIVERA@GMAIL.COM,4492513955,WWW.MEDICA-NORTE.COM.MX,11 a 30 personas
MEDICA NUTRICIA DE COLINAS DEL RIO AGUASCALIENTES,MEDICA NUTRICIA DE COLINAS DEL RIO AGUASCALIENTES SC,Consultorios de medicina general del sector privado,20010,Aguascalientes,Aguascalientes,2019-11,MEDICANUTRICIA2011@HOTMAIL.COM,4499196262,,11 a 30 personas
NG PLUS ENFERMERIA,,Servicios de enfermer�a a domicilio,20000,Aguascalientes,Aguascalientes,2019-11,NGPLUSENFERMERIA@GMAIL.COM,4492417899,,31 a 50 personas
ORFANATORIO CASIMIRA ARTEAGA HOGAR DE LA NIÑA ASOCIACION PROTECTORA DE LA INFANCIA DE AGUASCALIENTES,ORFANATORIO CASIMIRA ARTEAGA HOGAR DE LA NIÑA ASOCIACION PROTECTORA DE LA INFANCIA DE AGUASCALIENTES AC,Orfanatos y otras residencias de asistencia social del sector privado,20250,Aguascalientes,Aguascalientes,2010-07,HOGAR-CASIMIRA@YAHOO.COM.MX,4499708030,,31 a 50 personas
TORRE MEDICA SANTA MAR�A,,Hospitales generales del sector privado,20259,Aguascalientes,Aguascalientes,2011-03,TORRE.MEDICA_SM@OUTLOOK.ES,4499169720,,31 a 50 personas
UNIDAD MÉDICA DE ATENCIÓN AMBULATORIA,INSTITUO MEXICANO DEL SEGURO SOCIAL ,Hospitales generales del sector p�blico,20030,Aguascalientes,Aguascalientes,2010-07,MARTHA.REYESC@IMSS.GOB.MX,4491532280,WWW.IMSS.COM.MX,101 a 250 personas
URSE UNIDAD REGIONAL DE SERVICIOS EDUCATIVOS RINCON DE ROMOS,INSTITUTO DE EDUCACI�N DE AGUASCALIENTES ,Servicios de orientaci�n y trabajo social para la ni�ez y la juventud prestados por el sector p�blico,20414,Aguascalientes,Rinc�n de Romos,2014-12,CDE.RINCONDEROMOS@IEA.EDU.MX,4659510889,,11 a 30 personas
ACNE FACIALES,ACNE FACIALES ,Consultorios de medicina especializada del sector privado,22010,Baja California,Tijuana,2010-07,TR@ACNEFACIALES.COM,6649729305,ACNEFACIALES.COM,11 a 30 personas
ALAMO DENTAL CLINIC,,Consultorios dentales del sector privado,21970,Baja California,Mexicali,2010-07,ALAMODENTALCLINIC@GMAIL.COM,6585173304,WWW.ALAMODENTALGROUP.ORG,11 a 30 personas
ALBERGUE DE LOS AHITIANOS,PRO LIBERTAD Y DERECHOS HUMANOS EN AMERICA AC,Refugios temporales comunitarios del sector privado,22480,Baja California,Tijuana,2019-11,PLDHAMEXICO@GMAIL.COM,6641887395,WWW.PLDHAMEXICO.ORG,11 a 30 personas
ALCOHOLICOS ANONIMOS DISTRITO NUMERO 8,CENTRAL MEXICANA DE SERVICIOS GENERALES DE ALCOHOLICOS ANONIMOS AC,Agrupaciones de autoayuda para alcoh�licos y personas con otras adicciones,22706,Baja California,Playas de Rosarito,2010-07,SERVICIOSGENERALES@ALCOHOLICOS-ANONIMOS.ORG.MX,6646241418,,11 a 30 personas
BAJA DIALISIS,BAJA DIALISIS SC,Otros centros del sector privado para la atenci�n de pacientes que no requieren hospitalizaci�n,22000,Baja California,Tijuana,2010-07,DIALISISBAJA@GMAIL.COM,6646341700,,11 a 30 personas
CARDIOMED,HOSPITAL DE ESPECIALIDADES Y CARDIOLOGIA CARDIOMED SA DE CV,Consultorios de medicina especializada del sector privado,22800,Baja California,Ensenada,2010-07,SUPERVISION@CARDIOMED.COM,6461780351,HOSPITALCARDIOMED.COM,31 a 50 personas
CASA CUNA TRONCOSO Y BERRUECOS,CASA CUNA TRONCOSO Y BERRUECOS JUNTAMENTE EN APOYO CON DIF AC,Orfanatos y otras residencias de asistencia social del sector privado,22045,Baja California,Tijuana,2010-07,CTRONCASO@HSCJMEXICO.ORG,6646861545,,11 a 30 personas
CASA DEL ABUELO,DESARROLLO INTEGRAL DE LA FAMILIA DE MEXICALI ,Centros del sector p�blico dedicados a la atenci�n y cuidado diurno de ancianos y discapacitados,21376,Baja California,Mexicali,2010-07,CASADELABUELO_DIF@HOTMAIL.COM,6868420079,,11 a 30 personas
CASA HOGAR AGNES LESTER,CASA HOGAR AGNES LESTER AC,Orfanatos y otras residencias de asistencia social del sector privado,22654,Baja California,Tijuana,2010-07,AGNESLESTER@HOTMAIL.COM,6646362881,,11 a 30 personas
CASA HOGAR CAMINO AL SOL AC,,Agrupaciones de autoayuda para alcoh�licos y personas con otras adicciones,22216,Baja California,Tijuana,2010-07,CAMINODELSOL@HOTMAIL.COM,6643155542,,11 a 30 personas
CASA HOGAR EL DESCANSO,CASA HOGAR EL DESCANSO AC,Agrupaciones de autoayuda para alcoh�licos y personas con otras adicciones,22180,Baja California,Tijuana,2010-07,ELDESCANSO_@YAHOO.COM.MX,6646379178,,11 a 30 personas
CASA HOGAR EL REINO DE LOS NIÑOS,,Orfanatos y otras residencias de asistencia social del sector privado,22790,Baja California,Ensenada,2010-07,KIDSKINGDOM89@YAHOO.COM,6461540555,,11 a 30 personas
CASA HOGAR LA GLORIA,CASA HOGAR LA GLORIA AC,Orfanatos y otras residencias de asistencia social del sector privado,22645,Baja California,Tijuana,2010-07,CASAHOGARLAGLORIA@GMAIL.COM,6646361110,,11 a 30 personas
CASA HOGAR VIDA JOVEN DE MÉXICO,CASA HOGAR VIDA JOVEN DE MEXICO AC,Orfanatos y otras residencias de asistencia social del sector privado,22430,Baja California,Tijuana,2010-07,VJOVEN@HOTMAIL.COM,6646217953,WWW.VIDAJOVENDEMEXICO.ORG,11 a 30 personas
CASA HORIZONTE DE FUNDACION MEXICANA HORIZONTE,,Orfanatos y otras residencias de asistencia social del sector privado,22760,Baja California,Ensenada,2019-11,CASAHORIZONTEENSENADA@GMAIL.COM,6461307682,,11 a 30 personas
CAVIM,CAVIM AC,Otros servicios de orientaci�n y trabajo social prestados por el sector privado,21380,Baja California,Mexicali,2010-07,CAVIMAC@CAVI.ORG.MX,6862883613,WWW.CAVIM.ORG.MX,31 a 50 personas
CECAT NUMERO 3 TURNO MATUTINO,GOBIERNO DEL ESTADO ,Servicios de capacitaci�n para el trabajo prestados por el sector p�blico para personas desempleadas subempleadas o discapacitadas,21389,Baja California,Mexicali,2010-07,CECAT3HIDALGO@HOTMAI.COM,6865618504,,11 a 30 personas
CECATI 144,SECRETARÍA DE EDUCACI�N P�BLICA ,Servicios de capacitaci�n para el trabajo prestados por el sector p�blico para personas desempleadas subempleadas o discapacitadas,22465,Baja California,Tijuana,2014-12,CECATI144@YAHOO.COM,6646230133,WWW.DGST.SEMS.GOB.MX,31 a 50 personas
CENTRO DE ATENCIÓN M�LTIPLE 6,CAM 6 ,Consultorios del sector p�blico de audiolog�a y de terapia ocupacional f�sica y del lenguaje,21396,Baja California,Mexicali,2010-07,CAM_NUM.6@HOTMAIL.COM,6865613260,,11 a 30 personas
CENTRO DE ATENCION Y ORIENTACION FAMILIAR,CENTRO DE ATENCION Y ORIENTACION FAMILIAR AC,Consultorios de psicolog�a del sector privado,21140,Baja California,Mexicali,2014-12,CENAFAM.MEXICALI@GMAIL.COM,6865824220,,11 a 30 personas
CENTRO DE DESARROLLO INFANTIL PROFESORA KARINA MEDINA FELIZ,CENTRO DE DESARROLLO INFANTIL PROFESORA KARINA MEDINA FELIZ AC,Guarderías del sector privado,22585,Baja California,Tijuana,2014-12,CEDEINTERINA@GMAIL.COM,6649695184,,11 a 30 personas
CENTRO DE DESARROLLO INFANTIL SECCION 37,CENTRO DE DESARROLLO INFANTIL SECCI�N 37 ,Guarderías del sector p�blico,22880,Baja California,Ensenada,2010-07,CENDIENSENADA@HOTMAIL.COM,6461779820,,11 a 30 personas
CENTRO DE ESPECIALIDADES ODONTOLOGICAS,,Hospitales generales del sector privado,22320,Baja California,Tijuana,2019-11,DR.MONTESDEOCA.M@HOTMAIL.COM,6641985587,,11 a 30 personas
CENTRO DE REABILITACI�N CREAD,CENTRO DE REABILITACI�N CREAD AC,Agrupaciones de autoayuda para alcoh�licos y personas con otras adicciones,22813,Baja California,Ensenada,2014-12,DROGASALOHDNO@HOTMAIL.COM,6461563551,,11 a 30 personas
CENTRO DE REHABILITACION AMOR AL ADICTO DIFICIL Y REINCIDENTE,CRAADRY AC,Residencias del sector privado para el cuidado de personas con problemas de trastorno mental y adicci�n,21130,Baja California,Mexicali,2019-11,CRAADYR2@GMAIL.COM,6861414314,,11 a 30 personas
CENTRO DE REHABILITACION CREAD EL RUBI,,Agrupaciones de autoayuda para alcoh�licos y personas con otras adicciones,22630,Baja California,Tijuana,2010-07,CARILLO_RIOS1@HOTMAIL.COM,6646875025,,11 a 30 personas
CENTRO DE REHABILITACION DALE LA MANO AL HERMANO,DIOSECIS DE MEXICALI SC,Agrupaciones de autoayuda para alcoh�licos y personas con otras adicciones,21139,Baja California,Mexicali,2010-07,PBRORICARDOCAMPO@HOTMAIL.COM,6865638441,,11 a 30 personas
CENTRO DE REHABILITACION LOS TESOROS ESCONDIDOS,,Agrupaciones de autoayuda para alcoh�licos y personas con otras adicciones,22225,Baja California,Tijuana,2010-07,PASTORTESOROS@HOTMAIL.COM,6646485065,,11 a 30 personas
CENTRO DE REHABILITACI�N REFUGIO LA ESPERANZA,,Agrupaciones de autoayuda para alcoh�licos y personas con otras adicciones,22680,Baja California,Tijuana,2010-07,LAESPERANZAREFUGIO@GMAIL.COM,6648003895,,11 a 30 personas
CENTRO DE SALUD ROSARITO,ISESALUD ,Clínicas de consultorios médicos del sector p�blico,22705,Baja California,Playas de Rosarito,2014-12,CSUROSARITO@HOTMAIL.COM,6611003397,,11 a 30 personas
CENTRO DE SALUD RUIZ CORTINEZ,ISESALUD ,Clínicas de consultorios médicos del sector p�blico,22810,Baja California,Ensenada,2014-12,RUIZCORTINEZJ3@GMAIL.COM,6461555005,,11 a 30 personas
CENTRO DEL ANCIANO,FUNDACION BARRAQUIEL D FIMBRES AC,Asilos y otras residencias del sector privado para el cuidado de ancianos,22170,Baja California,Tijuana,2010-07,UVA@FUNDACIONFIMBRES.ORG,6644104561,FUNDACIONFIMBRES.ORG,11 a 30 personas
CENTRO GERIATR�CO NUEVO ATARDECER,,Asilos y otras residencias del sector privado para el cuidado de ancianos,21010,Baja California,Mexicali,2010-07,NUEVOATARDECER@LIVE.COM.MX,6865534848,,31 a 50 personas
CENTRO GERIATRICO VIDADIGNA,CENTRO GERIATRICO VIDADIGNA S DE RL DE CV,Asilos y otras residencias del sector privado para el cuidado de ancianos,21100,Baja California,Mexicali,2012-06,BEKI_1920@HOTMAIL.COM,6865528724,,11 a 30 personas
CENTRO GERONTOLOGICO DE DIA SAGRADO CORAZON,PATRONATO DE BAJA CALIGORNIA DEL HOSPITAL COLONIA INDEPENDENCIA AC,Centros del sector privado dedicados a la atenci�n y cuidado diurno de ancianos y discapacitados,22055,Baja California,Tijuana,2010-07,PBCHOSPITAL_SAGRADO@HOTMAIL.COM,6646856318,,11 a 30 personas
CENTRO MÉDICO,AMED BAJA SC,Consultorios de medicina general del sector privado,21100,Baja California,Mexicali,2014-12,IMPERAZ@PRODIGY.NET.MX,6865522135,,11 a 30 personas
CENTRO MEDICO FLORENCE,CENTRO MEDICO FLORENCE SA DE CV,Hospitales generales del sector privado,22040,Baja California,Tijuana,2010-07,RECURSOSHUMANOS@CENTROMEDICOFLORENCE.COM,6647143261,,51 a 100 personas
CENTRO MÉDICO SIMNSA,CENTRO MÉDICO SIMNSA SA DE CV,Hospitales generales del sector privado,21100,Baja California,Mexicali,2014-12,AGUTIERREZ@SIMNA.COM,6865556322,WWW.SIMNSAEE.NET,11 a 30 personas
CIDA ENSENADA,,Consultorios de psicolog�a del sector privado,22850,Baja California,Ensenada,2010-07,CIDA1_ELS@HOTMAIL.COM,6461364938,,11 a 30 personas
CIRAD,,Agrupaciones de autoayuda para alcoh�licos y personas con otras adicciones,22180,Baja California,Tijuana,2010-07,CIRAD@GMAIL.COM,6646345310,WWW.CIRADAC.COM,11 a 30 personas
CLIMER CLINICA DE REHABILITACION FISICA,,Consultorios del sector privado de audiolog�a y de terapia ocupacional f�sica y del lenguaje,22014,Baja California,Tijuana,2010-07,CLIMERONE@PRODIGY.NET.MX,6646863114,WWW.CLIMER.COM.MX,11 a 30 personas
CLINICA AMERICAN BIODENTAL,,Consultorios dentales del sector privado,,Baja California,Tijuana,2010-07,INFO@AMERICANBIODENTAL.COM,6646861158,,11 a 30 personas
CLINICA CALAFIA,UNIVERSIDAD AUTONOMA DEL ESTADO DE BAJA CALIFORNIA ,Consultorios dentales del sector p�blico,21280,Baja California,Mexicali,2010-07,ODONTOGIAMXL@UABC.EDU.MX,6865573268,ODONTOGIAMXL.UABC.MX,51 a 100 personas
CLINICA CRISTO REY,,Consultorios de medicina general del sector privado,22245,Baja California,Tijuana,2010-07,DRCRISTOARMENTA@HOTMAIL.COM,6641117632,,31 a 50 personas
CLINICA DE ESPECIALIDADES INTERNACIONAL DE MEXICALI,CLINICA DE ESPECIALIDADES INTERNACIONAL DE MEXICALI S DE RL DE CV,Consultorios de medicina general del sector privado,21130,Baja California,Mexicali,2014-12,CLIINTER@HOTMAIL.COM,6865538701,,11 a 30 personas
CLINICA DE REHABILITACION PARA ENFERMOS DE ALCOHOLISMO Y DROGADICCION BAJA DEL SOL,,Agrupaciones de autoayuda para alcoh�licos y personas con otras adicciones,22440,Baja California,Tijuana,2014-12,CAMINO.DEL.SOL@HOTMAIL.COM,6643838167,WWW.CLINICACAMINODELSOL.COM,11 a 30 personas
CLINICA DEL SEGURO SOCIAL UMF25,UNIDAD MEDICA FAMILIAR ,Clínicas de consultorios médicos del sector p�blico,22840,Baja California,Ensenada,2010-07,JOSE.ZAMORAD@IMSS.GOB.MX,6461724516,,101 a 250 personas
CLINICA DENTAL,,Consultorios dentales del sector privado,21970,Baja California,Mexicali,2014-12,ABDUL@DRABDULDENTAL.COM,9283774572,WWW.DRABDULDENTAL.COM,11 a 30 personas
CLINICA ISSTE UNIDAD DE MEDICINA FAMILIAR TECATE,EL GOBIERNO FEDERAL ,Clínicas de consultorios médicos del sector p�blico,21478,Baja California,Tecate,2010-07,UMFTECATE@HOTMAIL.COM,6656543590,WWW.ISSSTE.GOB.MX,11 a 30 personas
CLINICA MASCUPANA,CLÍNICA MASCUPANA SA DE CV,Consultorios de medicina especializada del sector privado,21110,Baja California,Mexicali,2014-12,CLINICAMACUSPANA@HOTMAIL.COM,6865538440,,11 a 30 personas
CLINICA MEDGIN,MEDGIN SA DE CV,Clínicas de consultorios médicos del sector privado,22460,Baja California,Tijuana,2010-07,CLINICAMEDGIN@HOTMAIL.COM,6646660042,WWW.CLINICAMEDGIN.COM,11 a 30 personas
CLINICA PLAIN HEALTH,PLAIN HEALTH ,Consultorios de medicina general del sector privado,22000,Baja California,Tijuana,2014-12,DESPACHOAMM@GMAIL.COM,6649732110,,11 a 30 personas
COMUNITA MONTESSORI,COMUNITA MONTESSORI SC,Guarderías del sector privado,22010,Baja California,Tijuana,2012-06,COMUNITAMONTESORI@GMAIL.COM,6646767816,,11 a 30 personas
CONSULTORIO DENTAL SIN NOMBRE,,Consultorios dentales del sector privado,21100,Baja California,Mexicali,2019-11,PEREZAVELARMARCO@GMAIL.COM,6865522345,,11 a 30 personas
CONSULTORIO DENTAL SIN NOMBRE,,Consultorios dentales del sector privado,21970,Baja California,Mexicali,2010-07,DIMAGANA@BEAMSPEED.NET,9282574686,WWW.LOSALGODONESDENTALPRO.COM,11 a 30 personas
CSD,CSD S DE RL DE CV,Consultorios de medicina general del sector privado,22320,Baja California,Tijuana,2014-12,REMUNOZ@SDIEGOCLINIC.COM,6646831398,,11 a 30 personas
CUIDADOS PALIATIVOS,CUIDADOS PALIATIVOS AC,Consultorios de medicina general del sector privado,22040,Baja California,Tijuana,2014-12,KGUTIERREZ@CUIDADOSPALATIVOSAC.ORG,6643800922,WWW.CUIDADOSPALATIVOSAC.ORG,11 a 30 personas
